date,nav
2018-12-17,0.7874
2018-12-18,0.8336
2018-12-19,0.8607
2018-12-20,0.8702
2018-12-21,0.8894
2018-12-22,0.9142
2018-12-23,0.9141
2018-12-24,0.9098
2018-12-25,0.9357
2018-12-26,0.8692
2018-12-27,1.1846
2018-12-28,1.1355
2018-12-29,1.1358
2018-12-30,1.1357
2018-12-31,1.1356
2019-01-01,1.134
2019-01-02,1.0985
2019-01-03,0.8957
2019-01-04,0.7862
2019-01-05,0.7745
2019-01-06,0.7744
2019-01-07,0.8239
2019-01-08,0.6359
2019-01-09,0.644
2019-01-10,0.6274
2019-01-11,0.636
2019-01-12,0.6318
2019-01-13,0.6318
2019-01-14,0.6359
2019-01-15,0.6509
2019-01-16,0.7588
2019-01-17,0.6609
2019-01-18,0.7915
2019-01-19,0.6682
2019-01-20,0.6682
2019-01-21,0.6796
2019-01-22,0.695
2019-01-23,0.7018
2019-01-24,0.7066
2019-01-25,0.7029
2019-01-26,0.7073
2019-01-27,0.7073
2019-01-28,0.7002
2019-01-29,2.0401
2019-01-30,1.0009
2019-01-31,0.8048
2019-02-01,0.7998
2019-02-02,0.7942
2019-02-03,0.7942
2019-02-04,0.7941
2019-02-05,0.7941
2019-02-06,0.794
2019-02-07,0.794
2019-02-08,0.7939
2019-02-09,0.7939
2019-02-10,0.7938
2019-02-11,0.7916
2019-02-12,0.9089
2019-02-13,0.686
2019-02-14,0.6242
2019-02-15,0.7198
2019-02-16,0.6283
2019-02-17,0.6283
2019-02-18,0.6282
2019-02-19,0.6315
2019-02-20,0.6258
2019-02-21,0.6213
2019-02-22,0.6156
2019-02-23,0.6165
2019-02-24,0.6165
2019-02-25,0.6251
2019-02-26,0.6506
2019-02-27,0.6833
2019-02-28,0.6253
2019-03-01,0.6603
2019-03-02,0.6338
2019-03-03,0.6218
2019-03-04,1.277
2019-03-05,0.7124
2019-03-06,0.6359
2019-03-07,0.6245
2019-03-08,0.6076
2019-03-09,0.6061
2019-03-10,0.6061
2019-03-11,0.6098
2019-03-12,0.6065
2019-03-13,0.6123
2019-03-14,0.6077
2019-03-15,0.5922
2019-03-16,0.598
2019-03-17,0.5979
2019-03-18,0.6436
2019-03-19,0.6507
2019-03-20,0.9356
2019-03-21,0.5598
2019-03-22,1.2204
2019-03-23,0.6186
2019-03-24,0.6186
2019-03-25,0.6234
2019-03-26,2.3525
2019-03-27,0.6328
2019-03-28,6.621
2019-03-29,0.7084
2019-03-30,0.6932
2019-03-31,0.6931
2019-04-01,1.1003
2019-04-02,0.6234
2019-04-03,0.582
2019-04-04,0.5949
2019-04-05,0.5841
2019-04-06,0.5841
2019-04-07,0.584
2019-04-08,0.5822
2019-04-09,0.5977
2019-04-10,0.5969
2019-04-11,0.6032
2019-04-12,0.6011
2019-04-13,0.6042
2019-04-14,0.6042
2019-04-15,0.6075
2019-04-16,0.6358
2019-04-17,0.6357
2019-04-18,0.6937
2019-04-19,0.7359
2019-04-20,0.619
2019-04-21,0.619
2019-04-22,0.6117
2019-04-23,0.629
2019-04-24,0.5744
2019-04-25,0.6381
2019-04-26,0.6153
2019-04-27,0.6223
2019-04-28,0.6223
2019-04-29,0.7041
2019-04-30,0.8962
2019-05-01,0.65
2019-05-02,0.65
2019-05-03,0.6499
2019-05-04,0.6499
2019-05-05,0.6499
2019-05-06,0.8607
2019-05-07,1.5829
2019-05-08,0.6026
2019-05-09,0.5728
2019-05-10,0.5938
2019-05-11,0.5813
2019-05-12,0.5812
2019-05-13,0.5838
2019-05-14,0.5901
2019-05-15,0.5927
2019-05-16,0.5846
2019-05-17,0.5917
2019-05-18,0.5918
2019-05-19,0.5918
2019-05-20,0.6726
2019-05-21,0.6319
2019-05-22,0.6661
2019-05-23,0.6301
2019-05-24,0.6205
2019-05-25,0.6262
2019-05-26,0.6262
2019-05-27,0.6517
2019-05-28,1.0429
2019-05-29,0.642
2019-05-30,0.647
2019-05-31,0.6488
2019-06-01,0.6491
2019-06-02,0.649
2019-06-03,1.0077
2019-06-04,1.2643
2019-06-05,0.6917
2019-06-06,0.6844
2019-06-07,0.6911
2019-06-08,0.6911
2019-06-09,0.691
2019-06-10,0.6741
2019-06-11,0.665
2019-06-12,0.662
2019-06-13,0.6572
2019-06-14,0.6408
2019-06-15,0.6391
2019-06-16,0.6391
2019-06-17,0.6515
2019-06-18,0.6671
2019-06-19,0.6716
2019-06-20,0.6707
2019-06-21,0.6809
2019-06-22,0.6817
2019-06-23,0.6816
2019-06-24,0.6897
2019-06-25,1.3035
2019-06-26,0.7221
2019-06-27,0.9274
2019-06-28,4.5726
2019-06-29,0.731
2019-06-30,0.731
2019-07-01,0.7881
2019-07-02,0.7362
2019-07-03,0.7633
2019-07-04,0.6785
2019-07-05,0.6716
2019-07-06,0.6643
2019-07-07,0.6643
2019-07-08,0.649
2019-07-09,0.6225
2019-07-10,0.6289
2019-07-11,0.6093
2019-07-12,0.6142
2019-07-13,0.6126
2019-07-14,0.6126
2019-07-15,0.6095
2019-07-16,0.6158
2019-07-17,0.6274
2019-07-18,0.6581
2019-07-19,0.6435
2019-07-20,0.648
2019-07-21,0.6479
2019-07-22,0.6457
2019-07-23,0.8699
2019-07-24,0.6325
2019-07-25,0.9387
2019-07-26,0.7083
2019-07-27,0.5813
2019-07-28,0.5813
2019-07-29,0.6555
2019-07-30,0.6643
2019-07-31,0.662
2019-08-01,1.4085
2019-08-02,0.6707
2019-08-03,0.665
2019-08-04,0.6649
2019-08-05,0.6533
2019-08-06,0.6375
2019-08-07,0.6563
2019-08-08,0.6611
2019-08-09,0.6616
2019-08-10,0.6571
2019-08-11,0.6571
2019-08-12,0.7143
2019-08-13,0.6645
2019-08-14,0.6525
2019-08-15,0.6687
2019-08-16,0.679
2019-08-17,0.6795
2019-08-18,0.6794
2019-08-19,0.6866
2019-08-20,0.7505
2019-08-21,0.6617
2019-08-22,0.6696
2019-08-23,0.692
2019-08-24,0.658
2019-08-25,0.6579
2019-08-26,0.6677
2019-08-27,0.8925
2019-08-28,0.6718
2019-08-29,0.6564
2019-08-30,0.6696
2019-08-31,0.6649
2019-09-01,0.6654
2019-09-02,0.666
2019-09-03,0.655
2019-09-04,0.6113
2019-09-05,0.6609
2019-09-06,0.6656
2019-09-07,0.6655
2019-09-08,0.6655
2019-09-09,0.6609
2019-09-10,0.672
2019-09-11,0.6682
2019-09-12,0.6701
2019-09-13,0.667
2019-09-14,0.6669
2019-09-15,0.6669
2019-09-16,0.6633
2019-09-17,0.665
2019-09-18,0.6565
2019-09-19,1.1231
2019-09-20,0.6994
2019-09-21,0.6971
2019-09-22,0.6971
2019-09-23,0.6748
2019-09-24,0.6395
2019-09-25,0.6314
2019-09-26,0.6573
2019-09-27,1.0454
2019-09-28,0.6415
2019-09-29,0.6414
2019-09-30,0.6581
2019-10-01,0.6568
2019-10-02,0.6568
2019-10-03,0.6567
2019-10-04,0.6567
2019-10-05,0.652
2019-10-06,0.6519
2019-10-07,0.6519
2019-10-08,0.645
2019-10-09,0.6528
2019-10-10,0.7589
2019-10-11,0.7405
2019-10-12,0.6628
2019-10-13,0.6627
2019-10-14,0.6677
2019-10-15,0.662
2019-10-16,0.6749
2019-10-17,0.6437
2019-10-18,1.7463
2019-10-19,0.6935
2019-10-20,0.6934
2019-10-21,0.9778
2019-10-22,0.7988
2019-10-23,0.6978
2019-10-24,0.683
2019-10-25,0.7518
2019-10-26,0.6847
2019-10-27,0.6847
2019-10-28,0.6921
2019-10-29,0.6983
2019-10-30,0.6764
2019-10-31,0.6826
2019-11-01,0.6706
2019-11-02,0.6675
2019-11-03,0.6675
2019-11-04,0.6872
2019-11-05,0.6784
2019-11-06,0.6674
2019-11-07,0.6451
2019-11-08,1.6717
2019-11-09,0.6278
2019-11-10,0.6277
2019-11-11,0.6439
2019-11-12,0.8958
2019-11-13,0.6422
2019-11-14,0.6668
2019-11-15,0.6693
2019-11-16,0.6637
2019-11-17,0.6636
2019-11-18,0.7039
2019-11-19,0.6965
2019-11-20,0.6964
2019-11-21,0.7083
2019-11-22,0.7312
2019-11-23,0.6815
2019-11-24,0.6815
2019-11-25,0.6909
2019-11-26,0.7014
2019-11-27,0.6952
2019-11-28,0.7076
2019-11-29,0.7136
2019-11-30,0.7159
2019-12-01,0.7159
2019-12-02,0.7993
2019-12-03,0.6852
2019-12-04,0.6806
2019-12-05,0.6616
2019-12-06,0.6372
2019-12-07,0.632
2019-12-08,0.6319
2019-12-09,0.6886
2019-12-10,0.6942
2019-12-11,0.699
2019-12-12,0.6989
2019-12-13,0.6925
2019-12-14,0.693
2019-12-15,0.6929
2019-12-16,0.7108
2019-12-17,0.7179
2019-12-18,0.7001
2019-12-19,0.6986
2019-12-20,0.9726
2019-12-21,0.7083
2019-12-22,0.7082
2019-12-23,0.7004
2019-12-24,0.7216
