date,nav
2024-04-08,1.0769
2024-04-09,1.0772
2024-04-10,1.0773
2024-04-11,1.0775
2024-04-12,1.078
2024-04-15,1.0782
2024-04-16,1.0782
2024-04-17,1.0784
2024-04-18,1.0793
2024-04-19,1.0794
2024-04-22,1.0801
2024-04-23,1.0806
2024-04-24,1.0795
2024-04-25,1.0799
2024-04-26,1.0792
2024-04-29,1.0786
2024-04-30,1.0792
2024-05-06,1.0797
2024-05-07,1.0803
2024-05-08,1.0803
2024-05-09,1.0801
2024-05-10,1.0801
2024-05-13,1.0806
2024-05-14,1.0808
2024-05-15,1.081
2024-05-16,1.081
2024-05-17,1.081
2024-05-20,1.0813
2024-05-21,1.0812
2024-05-22,1.0814
2024-05-23,1.0817
2024-05-24,1.0817
2024-05-27,1.0818
2024-05-28,1.0819
2024-05-29,1.0821
2024-05-30,1.0821
2024-05-31,1.0822
2024-06-03,1.0824
2024-06-04,1.0825
2024-06-05,1.0827
2024-06-06,1.0828
2024-06-07,1.083
2024-06-11,1.0832
2024-06-12,1.0833
2024-06-13,1.0834
2024-06-14,1.0835
2024-06-17,1.0836
2024-06-18,1.0836
2024-06-19,1.0839
2024-06-20,1.084
2024-06-21,1.0839
2024-06-24,1.0842
2024-06-25,1.0846
2024-06-26,1.0848
2024-06-27,1.0852
2024-06-28,1.0853
2024-06-30,1.0851
2024-07-01,1.0847
2024-07-02,1.0851
2024-07-03,1.0853
2024-07-04,1.0853
2024-07-05,1.0849
2024-07-08,1.0846
2024-07-09,1.085
2024-07-10,1.0851
2024-07-11,1.0851
2024-07-12,1.0854
2024-07-15,1.0857
2024-07-16,1.0858
2024-07-17,1.0859
2024-07-18,1.0859
2024-07-19,1.0859
2024-07-22,1.0864
2024-07-23,1.0869
2024-07-24,1.0872
2024-07-25,1.0877
2024-07-26,1.0878
2024-07-29,1.0888
2024-07-30,1.0891
2024-07-31,1.0893
2024-08-01,1.0896
2024-08-02,1.0899
2024-08-05,1.0902
2024-08-06,1.09
2024-08-07,1.0902
2024-08-08,1.0901
2024-08-09,1.0899
2024-08-12,1.0894
2024-08-13,1.0897
2024-08-14,1.09
2024-08-15,1.0899
2024-08-16,1.0899
2024-08-19,1.0901
2024-08-20,1.0901
2024-08-21,1.09
2024-08-22,1.0901
2024-08-23,1.0901
2024-08-26,1.0901
2024-08-27,1.0899
2024-08-28,1.09
2024-08-29,1.0901
2024-08-30,1.0903
2024-09-02,1.0908
2024-09-03,1.0909
2024-09-04,1.091
2024-09-05,1.0911
2024-09-06,1.0911
2024-09-09,1.0913
2024-09-10,1.0914
2024-09-11,1.0915
2024-09-12,1.0916
2024-09-13,1.0918
2024-09-18,1.0924
2024-09-19,1.0924
2024-09-20,1.0924
2024-09-23,1.0926
2024-09-24,1.0927
2024-09-25,1.093
2024-09-26,1.093
2024-09-27,1.0928
2024-09-30,1.0923
2024-10-08,1.0923
2024-10-09,1.0919
2024-10-10,1.0927
2024-10-11,1.0932
2024-10-14,1.0937
2024-10-15,1.0939
2024-10-16,1.0939
2024-10-17,1.0941
2024-10-18,1.0941
2024-10-21,1.0942
2024-10-22,1.094
2024-10-23,1.0939
2024-10-24,1.094
2024-10-25,1.094
2024-10-28,1.0942
2024-10-29,1.0943
2024-10-30,1.0944
2024-10-31,1.0946
2024-11-01,1.0948
2024-11-04,1.095
2024-11-05,1.0951
2024-11-06,1.0952
2024-11-07,1.0954
2024-11-08,1.0954
2024-11-11,1.0956
2024-11-12,1.0957
2024-11-13,1.0957
2024-11-14,1.0957
2024-11-15,1.0958
2024-11-18,1.0959
2024-11-19,1.096
2024-11-20,1.096
2024-11-21,1.0962
2024-11-22,1.0963
2024-11-25,1.0966
2024-11-26,1.0967
2024-11-27,1.0969
2024-11-28,1.0971
